Bar Name,Brand Name,sigma,forecast_daily_ml,par95,par99
Brown's Bar,Heineken,156.42667930978382,0.0,363.87572239502043,514.6363781788989
Brown's Bar,Jack Daniels,150.30211825383566,0.0,349.62892582285696,494.4868619091921
Brown's Bar,Jameson,157.26621318607664,0.0,365.82862452820564,517.398404933927
Brown's Bar,Jim Beam,156.72716171412594,98.9042857142857,562.3832682723843,713.433522509225
Brown's Bar,Malibu,142.26417634928504,166.7785714285714,664.4884147376354,801.5995559803432
Brown's Bar,Miller,147.90911049198164,0.0,344.062372649935,486.61397952782
Brown's Bar,Smirnoff,128.08774520297737,78.67714285714285,455.3087076922735,578.7569107090808
Brown's Bar,Sutter Home,148.79117876588705,0.0,346.1142172060253,489.5159424397234
Brown's Bar,Yellow Tail,185.21114054213123,63.11857142857143,557.0705394218583,735.5730373960984
Johnson's Bar,Absolut,165.8247884426926,0.0,385.7373623976957,545.5557128296837
Johnson's Bar,Bacardi,140.26841570965811,50.80857142857143,427.9059276141081,563.0935978469766
Johnson's Bar,Barefoot,170.54127532466035,0.0,396.70873300349814,561.0727316488153
Johnson's Bar,Budweiser,162.66183104523782,98.91857142857144,576.216915021626,732.9868754119614
Johnson's Bar,Captain Morgan,172.85853815343597,83.84999999999998,569.799090259181,736.3964167820142
Johnson's Bar,Coors,156.02979006549106,72.38857142857144,507.72963168922456,658.1077741895176
Johnson's Bar,Grey Goose,165.53113666866867,169.43142857142854,723.9171343285095,883.4524695215416
Johnson's Bar,Heineken,139.5842029588435,74.64142857142858,473.9800437781139,608.5082845360128
Johnson's Bar,Jack Daniels,155.4801640020889,127.19857142857141,616.0711056618867,765.9195304303962
Johnson's Bar,Jameson,135.2291716634883,17.41285714285716,349.39233901399604,479.723294648001
Johnson's Bar,Jim Beam,127.82205641596117,44.23142857142857,385.79924069073604,508.9913785916582
Johnson's Bar,Malibu,172.5939452425499,0.0,401.4836010279699,567.8259186166689
Johnson's Bar,Miller,136.30814139247144,0.0,317.0764963902543,448.44733975076605
Johnson's Bar,Smirnoff,184.8349202834743,0.0,429.95824266512193,608.0981476778251
Johnson's Bar,Sutter Home,154.14720082402803,43.21857142857142,445.01040096443353,593.5741446047177
Johnson's Bar,Yellow Tail,142.66654499508616,0.0,331.8672514864396,469.36618694158943
Smith's Bar,Absolut,180.673213877567,85.55714285714286,591.3916738632382,765.5206161060164
Smith's Bar,Bacardi,149.77825890362905,81.84714285714286,512.1046233760253,656.4576751323717
Smith's Bar,Barefoot,154.04331518749112,102.78142857142858,563.8944591515326,712.358080058534
Smith's Bar,Budweiser,115.2091883838653,0.0,267.9966539895791,379.03278203192366
Smith's Bar,Captain Morgan,156.29852669789014,0.0,363.5776170818131,514.214762145559
Smith's Bar,Coors,136.8340688819198,52.65857142857143,423.61703826088274,555.4947591793268
Smith's Bar,Grey Goose,171.60733706211695,134.71,668.6085784272223,834.0000243555362
Smith's Bar,Heineken,137.01213871576022,46.114285714285714,410.9426883047056,542.9920290839277
Smith's Bar,Jack Daniels,147.32728534652605,0.0,342.7089459452041,484.69980231129995
Smith's Bar,Jameson,140.2126787116165,57.24714285714286,440.65341649843754,575.7873686161274
Smith's Bar,Jim Beam,168.2845446923668,0.0,391.45918418803967,553.6481945797331
Smith's Bar,Malibu,168.41882270077338,208.05142857142854,807.8743953840947,970.1928200208135
Smith's Bar,Miller,155.58067405648038,0.0,361.90776671090003,511.8530608995096
Smith's Bar,Smirnoff,134.9968546836788,0.0,314.02621493868696,444.13326848399237
Smith's Bar,Sutter Home,146.92940333405747,38.58428571428571,418.95197445901306,560.5593607329926
Smith's Bar,Yellow Tail,164.96370116160293,0.0,383.73432328803614,542.7227763920425
Taylor's Bar,Absolut,137.28766124972736,97.94571428571427,515.246458887174,647.5613423352515
Taylor's Bar,Bacardi,131.9701139139156,0.0,306.9854883250449,434.1754344731292
Taylor's Bar,Barefoot,146.33609313010308,0.0,340.40326007771233,481.4388267885195
Taylor's Bar,Budweiser,180.57800364447365,0.0,420.0559125509336,594.0930932269392
Taylor's Bar,Captain Morgan,170.66820660709087,43.46142857142858,483.9268544343446,648.41318670883
Taylor's Bar,Coors,128.4904986933246,67.45428571428572,433.79986822800186,557.6362363621147
Taylor's Bar,Grey Goose,177.6837955660439,0.0,413.32348007875584,584.5712855036576
Taylor's Bar,Heineken,108.24844305577292,0.0,251.80474704734075,356.1322590464491
Taylor's Bar,Jack Daniels,162.13495221482083,62.76428571428575,502.68273159465036,658.9448975451701
Taylor's Bar,Jameson,147.01229459249444,0.0,341.9762225461219,483.6634976251048
Taylor's Bar,Jim Beam,147.3573064376458,101.24857142857141,545.2759230931883,687.2957131386574
Taylor's Bar,Malibu,156.5331190840729,168.36285714285714,700.8490341489664,851.7122742889414
Taylor's Bar,Miller,132.96019480841855,0.0,309.28858906403906,437.43275379934244
Taylor's Bar,Smirnoff,149.58122448506532,172.9057142857143,693.7634298310409,837.926584069357
Taylor's Bar,Sutter Home,115.89644175749545,0.0,269.59532512995946,381.2938131338869
Taylor's Bar,Yellow Tail,132.7997678979731,0.0,308.9154081067528,436.9049568498811
Thomas's Bar,Absolut,154.06161190613727,0.0,358.374163365499,506.85541825484904
Thomas's Bar,Bacardi,156.03805880148875,0.0,362.9717233533139,513.357835082814
Thomas's Bar,Barefoot,151.1604972564788,55.41571428571428,462.4570935762056,608.1423168102358
Thomas's Bar,Budweiser,141.28150722451136,0.0,328.64541220981454,464.80947816892547
Thomas's Bar,Captain Morgan,143.57152785448312,0.0,333.972399362564,472.343537756227
Thomas's Bar,Coors,122.03742562792678,76.24571428571429,436.37175260265667,553.988788258107
Thomas's Bar,Grey Goose,170.3948492285961,157.55571428571426,711.479548952336,875.7024252880577
Thomas's Bar,Heineken,128.51099716368086,134.09857142857143,567.136122671656,690.992246788873
Thomas's Bar,Jack Daniels,173.26758382519412,90.86714285714284,584.7848875056445,751.7764434143595
Thomas's Bar,Jameson,143.298369128027,127.37571428571427,588.0884131226809,726.1962870341257
Thomas's Bar,Jim Beam,176.70570282305044,32.234285714285775,475.51683729836725,645.8219780576136
Thomas's Bar,Malibu,162.40973788887945,95.15285714285713,568.099073826817,724.6260722765235
Thomas's Bar,Miller,179.38478027064738,0.0,417.28026699580545,590.1674447494934
Thomas's Bar,Smirnoff,146.49186729278532,67.75999999999996,476.2856179326932,617.4713164178484
Thomas's Bar,Sutter Home,127.51613319841867,15.765714285714301,328.15618139063724,451.05347710031856
Thomas's Bar,Yellow Tail,122.72090384774394,85.58,456.63021350580243,574.9059707111078
